,Brand,Car_type,Brandname_and_model,Model_type,Price,Price2,Seller_type,Selling_type,Listing_country,Listing_zip_code,Nb_previous_owners,Mileage,Mileage2,Power,Transmission,Fuel_type,Fuel_type2,Fuel_consumption,Fuel_emissions,First_registration,First_registration2,specific_model,Power_CH
0,volkswagen,polo,Volkswagen Polo ,1.6 CR TDi Comfortline BMT DPF,3750,"€ 3 750,-",p,Occasion,b,6470,- (Propriétaires préc.),233394,233 394 km,66 kW (90 CH),Boîte manuelle,d,Diesel,"3,7 l/100 km (mixte)",96 g/km (mixte),03-2010,03/2010,1.6,90
1,volkswagen,polo,Volkswagen Polo ,1.4 CR TDi Trendline BMT,9900,"€ 9 900,-",p,Occasion,b,1320,- (Propriétaires préc.),129600,129 600 km,55 kW (75 CH),Boîte manuelle,d,Diesel,"3,8 l/100 km",93 g/km (mixte),09-2016,09/2016,1.4,75
2,volkswagen,polo,Volkswagen Polo ,1.4 CR TDi BlueMotion,11499,"€ 11 499,-",p,Occasion,b,6210,2 Propriétaires préc.,125000,125 000 km,55 kW (75 CH),Boîte manuelle,d,Diesel,"3,1 l/100 km (mixte)",82 g/km (mixte),11-2015,11/2015,1.4,75
3,volkswagen,polo,Volkswagen Polo ,1.2 CR TDi Black Edition DPF,6700,"€ 6 700,-",p,Occasion,b,5361,2 Propriétaires préc.,132997,132 997 km,55 kW (75 CH),Boîte manuelle,d,Diesel,- (l/100 km),- (g/km),08-2013,08/2013,1.2,75
4,volkswagen,polo,Volkswagen Polo ,1.4 CR TDi Sportline BMT,8900,"€ 8 900,-",p,Occasion,b,6791,1 Propriétaires préc.,130000,130 000 km,66 kW (90 CH),Boîte manuelle,d,Diesel,4 l/100 km,81 g/km (mixte),08-2016,08/2016,1.4,90
5,volkswagen,polo,Volkswagen Polo ,1.4 CR TDi Trendline,11500,"€ 11 500,-",p,Occasion,b,6927,2 Propriétaires préc.,103000,103 000 km,55 kW (75 CH),Boîte manuelle,d,Diesel,,99 g/km (mixte),08-2016,08/2016,1.4,75
6,volkswagen,polo,Volkswagen Polo ,1.6 CR TDi Comfortline BMT DPF,9995,"€ 9 995,-",p,Occasion,b,3001,- (Propriétaires préc.),99000,99 000 km,66 kW (90 CH),Boîte manuelle,d,Diesel,"3,7 l/100 km (mixte)",96 g/km (mixte),05-2014,05/2014,1.6,90
7,volkswagen,polo,Volkswagen Polo ,VW POLO 6R 1.6TDI,5199,"€ 5 199,-",p,Occasion,b,4020,1 Propriétaires préc.,206000,206 000 km,66 kW (90 CH),Boîte manuelle,d,Diesel,5 l/100 km (mixte),- (g/km),09-2012,09/2012,1.6,90
8,volkswagen,polo,Volkswagen Polo ,1.2 CR TDi BlueMotion DPF 89g,8500,"€ 8 500,-",p,Occasion,b,1190,- (Propriétaires préc.),69900,69 900 km,55 kW (75 CH),Boîte manuelle,d,Diesel,"3,4 l/100 km (mixte)",89 g/km (mixte),10-2011,10/2011,1.2,75
9,volkswagen,polo,Volkswagen Polo ,1.2 CR TDi Trendline DPF,5600,"€ 5 600,-",p,Occasion,b,1000,- (Propriétaires préc.),145000,145 000 km,55 kW (75 CH),Boîte manuelle,d,Diesel,"3,8 l/100 km (mixte)",99 g/km (mixte),06-2011,06/2011,1.2,75
10,volkswagen,polo,Volkswagen Polo ,1.2 CR TDi Trendline DPF,6900,"€ 6 900,-",p,Occasion,b,6230,1 Propriétaires préc.,138000,138 000 km,55 kW (75 CH),Boîte manuelle,d,Diesel,"3,8 l/100 km (mixte)",99 g/km (mixte),07-2013,07/2013,1.2,75
